order_item_id,order_id,product_id,quantity,unit_price
OI0000041,ORD000020,P0023,3,742904.0
OI0000042,ORD000020,P0015,2,996992.0
OI0000043,ORD000020,P0019,3,1418045.0
OI0000044,ORD000020,P0025,3,892682.0
OI0000045,ORD000021,P0003,5,1524467.0
OI0000046,ORD000021,P0002,4,-1754399.0
OI0000047,ORD000021,P0002,5,-1754399.0
OI0000048,ORD000021,P0005,2,745157.0
OI0000049,ORD000022,P0024,2,335576.0
OI0000050,ORD000022,P0003,2,1524467.0
OI0000051,ORD000023,P0021,3,1705357.0
OI0000052,ORD000024,P0005,2,745157.0
OI0000053,ORD000024,P0015,4,996992.0
OI0000054,ORD000024,P0011,3,1442373.0
OI0000055,ORD000025,P0026,1,1730407.0
OI0000056,ORD000025,P0017,1,1504299.0
OI0000057,ORD000026,P0025,4,892682.0
OI0000058,ORD000026,P0006,1,1298145.0
OI0000059,ORD000026,P0012,1,1172847.0
OI0000060,ORD000027,P0015,3,996992.0
OI0000061,ORD000027,P0013,1,1754788.0
OI0000062,ORD000027,P0025,4,892682.0
OI0000063,ORD000027,P0004,1,"1922247,0"
OI0000064,ORD000028,P0007,1,665148.0
OI0000065,ORD000029,P0024,4,335576.0
OI0000066,ORD000029,P0015,1,996992.0
OI0000067,ORD000029,P0017,5,1504299.0
OI0000068,ORD000029,P0022,3,1382896.0
