order_id,customer_id,store_id,order_date,payment_method,status
ORD000020,C00006,ST001,2026-07-08 06:57:05,qris,pending
ORD000021,C00031,ST003,2026-07-08 06:40:09,cod,completed
ORD000022,C00022,ST002,2026-07-08 07:01:06,qris,pending
ORD000023,C00032,ST002,2026-07-08 07:10:06,bank_transfer,pending
ORD000024,C00027,ST001,2026-07-08 06:37:31,cod,pending
ORD000025,C00008,ST002,2026-07-08 07:04:07,e-wallet,completed
ORD000026,C00032,ST002,08/07/2026 06:29:18,credit_card,pending
ORD000027,C00019,ST001,08/07/2026 06:30:36,credit_card,pending
ORD000028,C00033,ST002,08/07/2026 06:59:25,qris,pending
ORD000029,C00031,ST002,2026-07-08 06:45:24,bank_transfer,pending
ORD000010,C00019,ST002,08/07/2026 06:27:26,cod,completed
ORD000014,C00002,ST002,2026-07-08 06:49:24,cod,completed
ORD000017,C00014,ST003,2026-07-08 06:57:41,qris,completed
ORD000021,C00031,ST003,2026-07-08 06:40:09,cod,completed
ORD000025,C00008,ST002,2026-07-08 07:04:07,e-wallet,completed
